census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2021,571,602256,602256,Showgrounds Village 320-386 Epsom Road FLEMINGTON VIC 3031,Kensington,"Shop 27, 320-380 Epsom Road FLEMINGTON VIC 3031",Hem 27,4511,Cafes and Restaurants,Seats - Outdoor,8,144.91512,-37.78227,"{'lon': 144.91512, 'lat': -37.78227}"
2021,571,602256,602256,Showgrounds Village 320-386 Epsom Road FLEMINGTON VIC 3031,Kensington,"Shop 16, 320-380 Epsom Road FLEMINGTON VIC 3031",Rye Cafe,4511,Cafes and Restaurants,Seats - Outdoor,16,144.91512,-37.78227,"{'lon': 144.91512, 'lat': -37.78227}"
2021,2523,614821,614821,532-534 Macaulay Road KENSINGTON VIC 3031,Kensington,Shop Ground 532-534 Macaulay Road KENSINGTON VIC 3031,Crust Gourmet Pizza Bar Kensington,4512,Takeaway Food Services,Seats - Outdoor,8,144.92845,-37.79402,"{'lon': 144.92845, 'lat': -37.79402}"
2021,2523,614830,614830,524 Macaulay Road KENSINGTON VIC 3031,Kensington,524 Macaulay Road KENSINGTON VIC 3031,Melba Social,4511,Cafes and Restaurants,Seats - Indoor,80,144.92863,-37.79404,"{'lon': 144.92863, 'lat': -37.79404}"
2021,2523,614834,614834,520 Macaulay Road KENSINGTON VIC 3031,Kensington,520 Macaulay Road KENSINGTON VIC 3031,Kensington food hall,4511,Cafes and Restaurants,Seats - Indoor,54,144.92876,-37.79405,"{'lon': 144.92876, 'lat': -37.79405}"
2021,2524,615808,615808,512 Macaulay Road KENSINGTON VIC 3031,Kensington,512 Macaulay Road KENSINGTON VIC 3031,Argi,4511,Cafes and Restaurants,Seats - Outdoor,4,144.92914,-37.79408,"{'lon': 144.92914, 'lat': -37.79408}"
2021,2524,615952,615952,506 Macaulay Road KENSINGTON VIC 3031,Kensington,506 Macaulay Road KENSINGTON VIC 3031,New Bakehouse and Coffee,1174,Bakery Product Manufacturing (Non-factory based),Seats - Indoor,20,144.92931,-37.79409,"{'lon': 144.92931, 'lat': -37.79409}"
2021,2524,616033,616033,190 Bellair Street KENSINGTON VIC 3031,Kensington,190 Bellair Street KENSINGTON VIC 3031,Burgertory,4512,Takeaway Food Services,Seats - Indoor,6,144.93006,-37.79396,"{'lon': 144.93006, 'lat': -37.79396}"
2021,2524,616043,616043,176 Bellair Street KENSINGTON VIC 3031,Kensington,176 Bellair Street KENSINGTON VIC 3031,White Rabbit Record Bar,4511,Cafes and Restaurants,Seats - Indoor,35,144.92994,-37.79366,"{'lon': 144.92994, 'lat': -37.79366}"
2021,2530,616160,616160,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Kensington,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,The Quiet Man Irish Pub,4520,"Pubs, Taverns and Bars",Seats - Outdoor,81,144.93237,-37.78861,"{'lon': 144.93237, 'lat': -37.78861}"
