theme,sub_theme,feature_name,co_ordinates
Mixed Use,Retail/Office/Residential/Carpark,Freshwater Place,"{'lon': 144.96246144843, 'lat': -37.8219745489446}"
Community Use,Visitor Centre,Melbourne Visitor Centre,"{'lon': 144.967937138226, 'lat': -37.8177352402006}"
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"{'lon': 144.969070431323, 'lat': -37.8176107327202}"
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,"{'lon': 144.981383411592, 'lat': -37.8097374138234}"
Place of Worship,Church,St Francis Church,"{'lon': 144.962422614541, 'lat': -37.8118847831837}"
Place of Worship,Church,St James Church,"{'lon': 144.952468571683, 'lat': -37.8101281201969}"
Place of Worship,Church,St Mary's Anglican Church,"{'lon': 144.953761537074, 'lat': -37.8031663672997}"
Place of Worship,Church,Scots Church,"{'lon': 144.96855105335, 'lat': -37.8145687802664}"
Place of Worship,Church,St Michael's Uniting Church,"{'lon': 144.969174036096, 'lat': -37.8143851324913}"
Place of Worship,Church,Greek Orthodox Church,"{'lon': 144.978259089269, 'lat': -37.8088064667555}"
Place of Worship,Church,North Melbourne Uniting,"{'lon': 144.947671538375, 'lat': -37.8035538471344}"
Place of Worship,Church,South Yarra Presbyterian Church,"{'lon': 144.98562699348, 'lat': -37.8407473645397}"
Place of Worship,Synagogue,East Melbourne Synagogue,"{'lon': 144.97422190954, 'lat': -37.809113728917}"
Transport,Transport Terminal,Port of Melbourne,"{'lon': 144.91753432375, 'lat': -37.8137384362671}"
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,"{'lon': 144.961967841559, 'lat': -37.7840864379557}"
Education Centre,Primary Schools,Carlton Gardens Primary School,"{'lon': 144.969406272035, 'lat': -37.8020953835112}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"{'lon': 144.971997551189, 'lat': -37.8017690847403}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"{'lon': 144.974107925144, 'lat': -37.8255239795833}"
Education Centre,Secondary Schools,Melbourne Grammar School,"{'lon': 144.976285045233, 'lat': -37.8342561018747}"
Place Of Assembly,Theatre Live,FairFax Studio,"{'lon': 144.968836241692, 'lat': -37.8216684581887}"
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"{'lon': 144.912142987372, 'lat': -37.7908082646624}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"{'lon': 144.975952335785, 'lat': -37.8143993575938}"
Mixed Use,Retail/Office,Treasury Reserve,"{'lon': 144.975236759799, 'lat': -37.8129178793082}"
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,"{'lon': 144.982336768182, 'lat': -37.8093444587231}"
Community Use,Government Building,Melbourne Magistrates Court,"{'lon': 144.956846193891, 'lat': -37.8136147671606}"
Transport,Railway Station,Flagstaff Railway Station,"{'lon': 144.956318211113, 'lat': -37.8122356514626}"
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"{'lon': 144.983402879078, 'lat': -37.8194921618419}"
Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,"{'lon': 144.913822928701, 'lat': -37.8310746380616}"
Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,"{'lon': 144.965989052839, 'lat': -37.8202245786597}"
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,"{'lon': 144.967252924593, 'lat': -37.8266045432686}"
Place of Worship,Church,St Patricks Cathedral,"{'lon': 144.975901529712, 'lat': -37.8101140950474}"
Office,Office,Parliament House,"{'lon': 144.97372641185, 'lat': -37.811246655376}"
Office,Office,Former Royal Mint,"{'lon': 144.957055454136, 'lat': -37.8121838748712}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,"{'lon': 144.971049530478, 'lat': -37.8216381244891}"
Office,Office,SBS (Special Broadcasting Service),"{'lon': 144.968740597156, 'lat': -37.8176921210305}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,"{'lon': 144.968963600783, 'lat': -37.8178516571684}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,"{'lon': 144.941617889032, 'lat': -37.8152178789077}"
Purpose Built,Film & RV Studio,Central City Studios,"{'lon': 144.935655305362, 'lat': -37.8142318521296}"
Transport,Marina,New Quay Marina,"{'lon': 144.942283726231, 'lat': -37.8152925454954}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,"{'lon': 144.922972125346, 'lat': -37.7878473341234}"
Health Services,Public Hospital,Royal Womens Hospital,"{'lon': 144.954897253856, 'lat': -37.7988892460088}"
Specialist Residential Accommodation,Hostel,The Mission To Seafarers Victoria,"{'lon': 144.951254841448, 'lat': -37.8224995970811}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,"{'lon': 144.936833674975, 'lat': -37.8116945351989}"
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,"{'lon': 144.978487173787, 'lat': -37.8220456119807}"
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,"{'lon': 144.978735802793, 'lat': -37.8209085970021}"
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,"{'lon': 144.981834802535, 'lat': -37.823110002667}"
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,"{'lon': 144.971690718887, 'lat': -37.8035518129299}"
Community Use,Public Buildings,Elisabeth Murdoch Hall,"{'lon': 144.967450979234, 'lat': -37.8239733704282}"
Community Use,Public Buildings,Melbourne Recital Centre,"{'lon': 144.967682729667, 'lat': -37.8238327885805}"
Place Of Assembly,Theatre Live,Hamer Hall,"{'lon': 144.967992144257, 'lat': -37.8199901009015}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,"{'lon': 144.923837074813, 'lat': -37.7982358832177}"
Transport,Railway Station,South Kensington Railway Station,"{'lon': 144.925837749713, 'lat': -37.7997270537735}"
Health Services,Public Hospital,Royal Childrens Hospital,"{'lon': 144.950048264678, 'lat': -37.7942060847278}"
Transport,Railway Station,Royal Park Railway Station,"{'lon': 144.951667833921, 'lat': -37.7812684282825}"
Place Of Assembly,Art Gallery/Museum,National Sports Museum,"{'lon': 144.984669809381, 'lat': -37.8189544909462}"
Office,Office,State Coroners Office,"{'lon': 144.964675254819, 'lat': -37.8244982228756}"
Transport,Railway Station,Flagstaff Railway Station,"{'lon': 144.9561186805, 'lat': -37.8116384403974}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.96169061383, 'lat': -37.8105992402369}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.963100728702, 'lat': -37.8108930047401}"
Place Of Assembly,Theatre Live,Athanaeum Theatre,"{'lon': 144.96732254212, 'lat': -37.814954347831}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,"{'lon': 144.915607065132, 'lat': -37.7948375315825}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,"{'lon': 144.954696055235, 'lat': -37.8111222889277}"
Education Centre,Primary Schools,North Melbourne Primary School,"{'lon': 144.951065772876, 'lat': -37.7986737155551}"
