Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($)
2610,"7 O'Grady Street, 
BRUNSWICK VIC 3056",BRUNSWICK,800.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
2611,"1511/180 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2612,"6, 3 & 21/32 Darling Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,525.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2613,"314/7 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,525.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2614,"1/26 Mitford Street, 
ST KILDA VIC 3182",ST KILDA,525.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
2615,"143 Thames Boulevard, 
TARNEIT VIC 3029",TARNEIT,525.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,2097.0
2616,"21 Charlton Street, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,525.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
2617,"105/436-442 Huntingdale Road, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,525.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
2618,"39 Wattle Grove, 
MULGRAVE VIC 3170",MULGRAVE,525.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,1065.0
2619,"15 Chateau Avenue, 
NARRE WARREN VIC 3805",NARRE WARREN,525.0,52128.0,7667.0,147.8,35723.0,0.0,0.0,122.0,189.0,139.0,211.0,49.0,105.0,24.0,40.0,15242.0,746.0,35.0,1592.0,2387.0,253.0,677.0,4487.0
2620,"208/150 Peel Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,525.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
2621,"645 Queensberry Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,525.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
2622,"511/33 Blackwood Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,525.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
2623,"117/99 Dow Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,525.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
2624,"2/18 McDonald Street, 
PRESTON VIC 3072",PRESTON,525.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
2625,"36 Massey Avenue, 
RESERVOIR VIC 3073",RESERVOIR,525.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
2626,"45 Rathcown Road, 
RESERVOIR VIC 3073",RESERVOIR,525.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,3905.0
2627,"56 Stawell Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,540.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
2628,"8/102 Railway Parade, 
PASCOE VALE VIC 3044",PASCOE VALE,540.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,1259.0
2629,"18 Fremantle Close, 
POINT COOK VIC 3030",POINT COOK,540.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,5143.0
2630,"16 Maddock Street, 
POINT COOK VIC 3030",POINT COOK,540.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,5143.0
2631,"106/15 Pickles Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,540.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
2632,"131 East Road, 
SEAFORD VIC 3198",SEAFORD,540.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,1011.0
2633,"2/32 Darling Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,540.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2634,"14/384 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,540.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2635,"3914/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2636,"3214/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2637,"518/65 Coventry Street, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2638,"2203/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2639,"9 McNamara Road, 
LAVERTON VIC 3028",LAVERTON,420.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,1205.0
2640,"6/14 Navigator Street, 
MARIBYRNONG VIC 3032",MARIBYRNONG,420.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,1311.0
2641,"2/60 Middle Road, 
MARIBYRNONG VIC 3032",MARIBYRNONG,420.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,1311.0
2642,"506/7 Thomas Holmes Street, 
MARIBYRNONG VIC 3032",MARIBYRNONG,420.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,1311.0
2643,"2/4 Shankland Boulevard, 
MEADOW HEIGHTS VIC 3048",MEADOW HEIGHTS,420.0,15078.0,3260.0,33.6,10091.0,0.0,0.0,83.0,36.0,16.0,69.0,13.0,44.0,14.0,10.0,3883.0,843.0,57.0,346.0,1300.0,152.0,176.0,657.0
2644,"6A Care Close, 
MEADOW HEIGHTS VIC 3048",MEADOW HEIGHTS,420.0,15078.0,3260.0,33.6,10091.0,0.0,0.0,83.0,36.0,16.0,69.0,13.0,44.0,14.0,10.0,3883.0,843.0,57.0,346.0,1300.0,152.0,176.0,657.0
2645,"617/14 David Street, 
RICHMOND VIC 3121",RICHMOND,799.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
2646,"6/1A Sandown Road, 
ASCOT VALE VIC 3032",ASCOT VALE,795.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,1468.0
2647,"31 Church Street, 
BEAUMARIS VIC 3193",BEAUMARIS,800.0,14124.0,2366.7,47.6,8464.0,0.0,0.0,8.0,101.0,98.0,47.0,46.0,47.0,3.0,58.0,4283.0,880.0,312.0,612.0,644.0,18.0,142.0,1562.0
2648,"144 Patterson Road, 
BENTLEIGH VIC 3204",BENTLEIGH,800.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,2566.0
2649,"81 Brewer Road, 
BENTLEIGH VIC 3204",BENTLEIGH,800.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,2566.0
2650,"25 Campbell Street, 
BENTLEIGH VIC 3204",BENTLEIGH,795.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,2566.0
2651,"27/69 Dorcas Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2652,"114 Palmerston Crescent, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2653,"609/2-14 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2654,"184 Pickles Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2655,"108/68 Argo Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2656,"2101/3 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2657,"2a Nicholson Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2658,"804/8 Garden St, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2659,"4701/70 Southbank Bvd, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2660,"2910/241 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2661,"1908/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2662,"3712/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2663,"3303/133 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2664,"4801/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2665,"6209/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,795.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2666,"302/40-44 Pakington Street, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,3023.0
2667,"16 Learmonth Street, 
SUNBURY VIC 3429",SUNBURY,430.0,40147.0,768.7,113.30000000000001,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,3385.0
2668,"14 Aldridge Dr, 
SUNBURY VIC 3429",SUNBURY,430.0,40147.0,768.7,113.30000000000001,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,3385.0
2669,"22 Sacras Court, 
SYDENHAM VIC 3037",SYDENHAM,430.0,11866.0,3005.6,36.7,8264.0,0.0,0.0,40.0,39.0,18.0,63.0,9.0,29.0,6.0,12.0,2744.0,1356.0,104.0,366.0,1182.0,14.0,353.0,1041.0
2670,"4/3 Malachite Drive, 
TARNEIT VIC 3029",TARNEIT,430.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,2097.0
2671,"5 Cambridge Court, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,728.0
2672,"14 Tanjil Court, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,728.0
2673,"21 Central Avenue, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,728.0
2674,"85 Cedar Street, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,728.0
2675,"228 Flinders Street, 
THORNBURY VIC 3071",THORNBURY,430.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,1343.0
2676,"9/14 Smith Street, 
THORNBURY VIC 3071",THORNBURY,430.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,1343.0
2677,"1902/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2678,"406/33 claremont street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2679,"1506/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2680,"6/240 Domain Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2681,"202/52 Darling Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2682,"506/45 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2683,"2/23 Alexandra Avenue, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
2684,"3105/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2685,"908/65 Coventry Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2686,"66/100 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2687,"3*02/18 Hoff Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2688,"68/100 Kavanagh St, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2689,"4306/60 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2690,"501/33 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2691,"280/88 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2692,"5817/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2693,"1803/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2694,"228/100 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2695,"704/43 Hancock Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
2696,"209/366 Church Street, 
RICHMOND VIC 3121",RICHMOND,500.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
2697,"303/136 Burnley Street, 
RICHMOND VIC 3121",RICHMOND,500.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
2698,"108/136 Burnley Street, 
RICHMOND VIC 3121",RICHMOND,500.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
2699,"7 Kempton Court, 
SEABROOK VIC 3028",SEABROOK,500.0,5002.0,3087.8,37.1,3399.0,0.0,0.0,18.0,11.0,11.0,23.0,8.0,11.0,3.0,3.0,1726.0,58.0,25.0,361.0,326.0,10.0,119.0,1147.0
2700,"17/63 Dorcas Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,500.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2701,"308/148 Wells Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,500.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2702,"802/38 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,500.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
2703,"16 Ellendale Way, 
SOUTH MORANG VIC 3752",SOUTH MORANG,500.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,2239.0
2704,"224 The Lakes Boulevard, 
SOUTH MORANG VIC 3752",SOUTH MORANG,500.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,2239.0
2705,"15 Curtis Avenue, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,625.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
