Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"29 Penguin Street, 
MELTON VIC 3337",430.0,5,2,2,0,1,0
"25 Hanover Circuit, 
MELTON SOUTH VIC 3338",430.0,4,2,2,0,1,0
"18 Moodie Street, 
MELTON SOUTH VIC 3338",430.0,3,2,2,0,1,0
"21 Thornhill Street, 
MELTON WEST VIC 3337",430.0,3,2,2,0,1,0
"13 Pulford Court, 
MELTON WEST VIC 3337",430.0,3,2,4,0,1,0
"8 Halliday Road, 
MERNDA VIC 3754",430.0,3,2,1,0,1,0
"8 Pensbury Avenue, 
MILL PARK VIC 3082",430.0,3,1,2,0,1,0
"6/45 Ancona Drive, 
MILL PARK VIC 3082",430.0,2,1,1,0,0,1
"2/1 Ranleigh Court, 
MOORABBIN VIC 3189",430.0,2,1,1,1,0,0
"1/4-6 Oakland Street, 
MORNINGTON VIC 3931",430.0,2,1,1,1,0,0
"124 Harold Keys Drive, 
NARRE WARREN SOUTH VIC 3805",430.0,4,2,2,0,1,0
"29B Poplar Street, 
NEWCOMB VIC 3219",430.0,3,1,2,0,1,0
"9/270A Pakington Street, 
NEWTOWN VIC 3220",430.0,2,1,1,1,0,0
"601 Thompson Road, 
NORLANE VIC 3214",430.0,3,1,2,0,1,0
"63A Waitara Grove, 
NORLANE VIC 3214",430.0,3,2,1,0,0,1
"17 Korumburra Close, 
NORLANE VIC 3214",430.0,3,2,3,0,1,0
"35-37 Walsgott Street, 
NORTH GEELONG VIC 3215",430.0,3,2,1,0,1,0
"2/37 Haines Street, 
NORTH MELBOURNE VIC 3051",430.0,2,1,1,1,0,0
"102/11 Stawell Street, 
NORTH MELBOURNE VIC 3051",430.0,1,1,1,1,0,0
"33 Ethel St, 
OAK PARK VIC 3046",430.0,2,1,1,1,0,0
"203/133 Railway Place, 
WILLIAMSTOWN VIC 3016",520.0,2,1,1,1,0,0
"13/17-19 The Avenue, 
WINDSOR VIC 3181",520.0,2,1,1,1,0,0
"1/31 Upton Road, 
WINDSOR VIC 3181",520.0,2,1,1,1,0,0
"22 Providence Avenue, 
WOLLERT VIC 3750",520.0,4,2,2,0,1,0
"35 Avonwood Avenue, 
WYNDHAM VALE VIC 3024",520.0,4,2,2,0,1,0
"101/665 Centre Road, 
BENTLEIGH EAST VIC 3165",525.0,2,2,1,1,0,0
"38 Jack William Way, 
BERWICK VIC 3806",520.0,3,2,2,0,1,0
"149 Bonniebrook Road, 
BONNIE BROOK VIC 3335",525.0,4,2,2,0,1,0
"3/75 Dawson Street, 
BRUNSWICK VIC 3056",525.0,2,1,2,1,0,0
"Rear/919 Rathdowne Street, 
CARLTON NORTH VIC 3054",525.0,1,1, ,1,0,0
"6/33 Coorigil Road, 
CARNEGIE VIC 3163",525.0,2,1,2,1,0,0
"52 Wyperfeld Circuit, 
CAROLINE SPRINGS VIC 3023",525.0,4,2,2,0,1,0
"202/972 Glenhuntly Road, 
CAULFIELD SOUTH VIC 3162",525.0,2,2,1,1,0,0
"136 Wilson Street, 
CHELTENHAM VIC 3192",525.0,3,1,2,0,1,0
"1/11 Nardoo Court, 
CLARINDA VIC 3169",525.0,3,1,1,0,1,0
"28 Edgewater Drive, 
CLIFTON SPRINGS VIC 3222",525.0,3,1,4,0,1,0
"27 Bellavita Avenue, 
CLYDE VIC 3978",525.0,4,2,2,0,1,0
"20 Matchett Drive, 
CLYDE VIC 3978",525.0,4,2,1,0,1,0
"1/108 Endeavour Drive, 
CRANBOURNE NORTH VIC 3977",540.0,3,2,2,0,0,1
"21 Lindbergh Boulevard, 
DIGGERS REST VIC 3427",540.0,4,3,2,0,1,0
"702S/889 Collins Street, 
DOCKLANDS VIC 3008",540.0,1,1, ,1,0,0
"511N/889 Collins Street, 
DOCKLANDS VIC 3008",540.0,1,1, ,1,0,0
"3A Godfrey Street, 
EAST GEELONG VIC 3219",540.0,3,2,2,0,1,0
"3B Godfrey Street, 
EAST GEELONG VIC 3219",540.0,3,2,2,0,1,0
"2/89 EDITHVALE Road, 
EDITHVALE VIC 3196",540.0,2,2,1,0,0,1
"11/14 Broadway, 
ELWOOD VIC 3184",540.0,2,1,1,1,0,0
"7/233 Brighton Road, 
ELWOOD VIC 3184",540.0,2,1,1,1,0,0
"9 Genesis Drive, 
EPPING VIC 3076",540.0,4,2,2,0,1,0
"A01/2A Duffy Street, 
ESSENDON NORTH VIC 3041",540.0,2,2,1,1,0,0
"609D/4 Tannery Walk, 
FOOTSCRAY VIC 3011",540.0,2,2,1,1,0,0
"12-18 Napier Street, 
FOOTSCRAY VIC 3011",540.0,2,2,1,1,0,0
"711/1-11 Moreland Street, 
FOOTSCRAY VIC 3011",540.0,2,2,1,1,0,0
"2/37 Williams Street, 
FRANKSTON VIC 3199",540.0,2,2,1,0,0,1
"1/26 Lawson Avenue, 
FRANKSTON VIC 3199",540.0,3,2,1,1,0,0
"10 Reservoir Road, 
FRASER RISE VIC 3336",540.0,4,2,2,0,1,0
"22 Galveston Avenue, 
FRASER RISE VIC 3336",540.0,4,2,2,0,1,0
"106/312-320 Moorabool Street, 
GEELONG VIC 3220",540.0,2,1,1,1,0,0
"83 Isabella Street, 
GEELONG WEST VIC 3218",540.0,5,2,2,0,1,0
"3/6 Charles Avenue, 
HALLAM VIC 3803",540.0,3,2,2,0,0,1
"75 Glastonbury Drive, 
HIGHTON VIC 3216",540.0,3,2,2,0,1,0
"125/77-81 Hobsons Road, 
KENSINGTON VIC 3031",540.0,2,1,1,1,0,0
"10 Chatfield Street, 
KINGSVILLE VIC 3012",540.0,3,1,4,0,1,0
"10 Chatfield Street, 
KINGSVILLE VIC 3012",540.0,3,1,3,0,1,0
"1/11 Tyquin Street, 
LAVERTON VIC 3028",540.0,3,2,2,0,1,0
"3/36 Paxton Street, 
MALVERN EAST VIC 3145",540.0,2,1,1,1,0,0
"30A Manning Road, 
MALVERN EAST VIC 3145",540.0,2,1,1,0,1,0
"26A William Street, 
MCCRAE VIC 3938",540.0,3,2,2,0,1,0
"3803/200 Spencer Street, 
MELBOURNE VIC 3000",540.0,1,1,1,1,0,0
"405/155 Franklin Street, 
MELBOURNE VIC 3000",540.0,1,1, ,1,0,0
"20 Botwood Street, 
MICKLEHAM VIC 3064",540.0,4,2,2,0,1,0
"1/134 Mill Park Drive, 
MILL PARK VIC 3082",540.0,3,2,2,0,0,1
"7/119 McDonald Street, 
MORDIALLOC VIC 3195",540.0,2,1,1,1,0,0
"11 Richardson Drive, 
MORNINGTON VIC 3931",540.0,3,1,1,0,1,0
"5/6 Benjamin Street, 
MOUNT MARTHA VIC 3934",540.0,2,2,1,1,0,0
"29 Merrill Street, 
MULGRAVE VIC 3170",540.0,3,1,5,0,1,0
"34 Einstein Avenue, 
MULGRAVE VIC 3170",540.0,3,1,2,0,1,0
"34 Filmer Crescent, 
NARRE WARREN SOUTH VIC 3805",540.0,3,2,2,0,1,0
"27 Brittle Gum Road, 
CRANBOURNE EAST VIC 3977",525.0,3,2,2,0,1,0
"21 Jagger Circuit, 
CRANBOURNE EAST VIC 3977",525.0,3,2,2,0,1,0
"31 Sparrowhawk Crescent, 
DEANSIDE VIC 3336",525.0,4,2,2,0,1,0
"1 Gibbs Street, 
DEANSIDE VIC 3336",525.0,4,2,1,0,1,0
"2 Winter Street, 
EAST GEELONG VIC 3219",525.0,4,1,1,0,1,0
"18/43 Raleigh Street, 
ESSENDON VIC 3040",525.0,2,1,1,1,0,0
"601/4 Bik Lane, 
FITZROY NORTH VIC 3068",525.0,1,1,1,1,0,0
"2/179 Beach Street, 
FRANKSTON VIC 3199",525.0,3,2,3,0,1,0
"36 Hope Street, 
GEELONG WEST VIC 3218",525.0,3,1,1,0,1,0
"2/19 Martin Place, 
GLEN WAVERLEY VIC 3150",525.0,2,1,1,0,1,0
"31 Warana Drive, 
HAMPTON PARK VIC 3976",525.0,4,2,4,0,1,0
"4/93 Marine Parade, 
HASTINGS VIC 3915",525.0,3,2,2,0,1,0
"2 Konrads Crescent, 
HIGHTON VIC 3216",525.0,4,2,2,0,1,0
"2/18 Johnstone Street, 
MALVERN VIC 3144",525.0,2,1,1,1,0,0
"108/45 Edgewater Boulevard, 
MARIBYRNONG VIC 3032",525.0,2,2,1,1,0,0
"302/141-149 La Trobe St, 
MELBOURNE VIC 3000",525.0,1,1, ,1,0,0
"511/118 Franklin Street, 
MELBOURNE VIC 3000",525.0,2,1, ,1,0,0
"104/139 Bourke Street, 
MELBOURNE VIC 3000",525.0,1,1, ,1,0,0
"2209/285 La Trobe Street, 
MELBOURNE VIC 3000",525.0,1,1, ,1,0,0
"3/51 Surrey Street, 
PASCOE VALE VIC 3044",430.0,2,1,1,0,0,1
"1/58 View Street, 
PASCOE VALE VIC 3044",430.0,2,1,2,0,0,1
"2/23 Tenerrife Crescent, 
POINT COOK VIC 3030",430.0,3,2,2,0,1,0
"12 Tattersalls Lane, 
POINT COOK VIC 3030",430.0,2,2,1,0,1,0
"32 Botha Avenue, 
RESERVOIR VIC 3073",430.0,3,1,1,0,1,0
"38 Goulburn Avenue, 
RESERVOIR VIC 3073",430.0,2,1, ,0,1,0
"6/16-18 Compton Street, 
RESERVOIR VIC 3073",430.0,2,1,2,1,0,0
"5 Akram Way, 
ROCKBANK VIC 3335",430.0,3,1,1,0,1,0
"18 Oscar Circuit, 
ROXBURGH PARK VIC 3064",430.0,3,1,2,0,1,0
"77B St Anthony Court, 
SEABROOK VIC 3028",430.0,3,2,1,0,1,0
"21 Arnold Street, 
SOUTH YARRA VIC 3141",430.0,1,1, ,1,0,0
"103/33 Clarke Street, 
SOUTHBANK VIC 3006",430.0,1,1, ,1,0,0
"3/1 Dodds Street, 
SPRINGVALE VIC 3171",430.0,2,1,1,1,0,0
"5/1 Dodds Street, 
SPRINGVALE VIC 3171",430.0,2,1,1,1,0,0
"105/157 Fitzroy St, 
ST KILDA VIC 3182",430.0,1,1, ,1,0,0
"17/1 Duke Street, 
ST KILDA VIC 3182",430.0,1,1,1,1,0,0
"20/10 Acland Street, 
ST KILDA VIC 3182",430.0,1,1,1,1,0,0
"201/2 Princes Street, 
ST KILDA VIC 3182",430.0,1,1,1,1,0,0
"302/40-44 Pakington Street, 
ST KILDA VIC 3182",430.0,1,1,1,1,0,0
"1 Wiseman Court, 
ESSENDON VIC 3040",800.0,3,1,2,0,1,0
"14 Faulkner Street, 
HAMPTON VIC 3188",795.0,4,1,2,0,1,0
"2/4 Riverside Avenue, 
KEILOR VIC 3036",800.0,4,2,2,0,1,0
"6B Snow Street, 
KEILOR PARK VIC 3042",3.0,4,3,1,0,0,1
"47 Ringtail Circuit, 
MAIDSTONE VIC 3012",800.0,4,2,1,0,1,0
"2 Bruce Street, 
MALVERN EAST VIC 3145",800.0,3,1,1,0,1,0
"ELIZABETH STREET, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"4004/639 Lonsdale St, 
MELBOURNE VIC 3000",800.0,1,1, ,1,0,0
"35/300 King St, 
MELBOURNE VIC 3000",800.0,1,2,1,1,0,0
"3213D/624 Lonsdale Street, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"6401/160 Spencer Street, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"648 Lonsdale St, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"1510/618 Lonsdale Street, 
MELBOURNE VIC 3000",800.0,2,2,1,1,0,0
"3107/23 MacKenzie Street, 
MELBOURNE VIC 3000",800.0,2,2,1,1,0,0
"81/33 Latrobe Street, 
MELBOURNE VIC 3000",800.0,3,2,1,1,0,0
"2802D/648 Lonsdale Street, 
MELBOURNE VIC 3000",800.0,2,2,1,1,0,0
"3511/157 A'Beckett Street, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"3203/371 Little Lonsdale Street, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"3/340 South Road, 
HAMPTON EAST VIC 3188",420.0,1,1,1,1,0,0
"6 Sullivan Place, 
HARKNESS VIC 3337",420.0,4,2,2,0,1,0
"402/37 Burgundy Street, 
HEIDELBERG VIC 3084",420.0,1,1,1,1,0,0
"102/104 -110 Colac Road, 
HIGHTON VIC 3216",420.0,2,1,1,1,0,0
"7 Varna Court, 
HILLSIDE VIC 3037",420.0,3,2,1,0,1,0
"1/9 Marner Street, 
HILLSIDE VIC 3037",420.0,3,2,1,1,0,0
"17 Hunter Avenue, 
HOPPERS CROSSING VIC 3029",420.0,3,2,2,0,1,0
"3 Incana Close, 
HOPPERS CROSSING VIC 3029",420.0,3,1,4,0,1,0
"5/3B Warrigal Road, 
HUGHESDALE VIC 3166",420.0,2,1,1,1,0,0
"16/61-63 Maltravers Road, 
IVANHOE EAST VIC 3079",450.0,2,1, ,1,0,0
"7 Whistler Circuit, 
KALKALLO VIC 3064",420.0,4,2,2,0,1,0
"10 Metro Avenue, 
KALKALLO VIC 3064",420.0,3,2,1,0,1,0
"106 Antares Parade, 
KALKALLO VIC 3064",420.0,2,2,1,0,1,0
"101/60 Speakmen Street, 
KENSINGTON VIC 3031",420.0,1,1,1,1,0,0
"204/86 Altona Street, 
KENSINGTON VIC 3031",420.0,1,1,1,1,0,0
"13/18 Mawbey Street, 
KENSINGTON VIC 3031",420.0, ,1, ,1,0,0
"6 Harrow Court, 
KURUNJANG VIC 3337",420.0,4,2,2,0,1,0
"27 Ajay Way, 
KURUNJANG VIC 3337",420.0,4,2,4,0,1,0
"19 Hurtle Street, 
LALOR VIC 3075",420.0,3,1,2,0,1,0
"3104/141 La Trobe Street, 
MELBOURNE VIC 3000",565.0,1,1, ,1,0,0
"5 Dunblane Road, 
NOBLE PARK VIC 3174",565.0,5,1,2,0,1,0
"67/1a St Kilda Road, 
ST KILDA VIC 3182",565.0,2,1,1,1,0,0
"71 Stagecoach Crescent, 
SYDENHAM VIC 3037",565.0,4,2,2,0,1,0
"17 The Avenue, 
MALVERN EAST VIC 3145",569.0,3,1,3,1,0,0
"3/50a Wattletree Road, 
ARMADALE VIC 3143",570.0,2,1,1,1,0,0
"27 Shannahan Drive, 
BELL PARK VIC 3215",570.0,4,2,2,0,1,0
"8/48 Hill Street, 
BENTLEIGH EAST VIC 3165",570.0,2,2,1,0,0,1
"3 Ladd Way, 
BERWICK VIC 3806",570.0,4,2,2,0,1,0
"17a Cannes Avenue, 
BONBEACH VIC 3196",570.0,3,1,2,0,1,0
"3 Lawrence Court, 
BUNDOORA VIC 3083",570.0,4,2,2,0,1,0
"G02/224 Burwood Highway, 
BURWOOD VIC 3125",570.0,2,2, ,1,0,0
"3/28 Florence Avenue, 
CAPEL SOUND VIC 3940",570.0,3,2,1,0,0,1
"502/67 Bouverie Street, 
CARLTON VIC 3053",570.0,2,1,1,1,0,0
"1805/6 Leicester Street, 
CARLTON VIC 3053",570.0,2,2, ,1,0,0
"1109/28 Bouverie Street, 
CARLTON VIC 3053",570.0,2,2, ,1,0,0
"9/1068 Lygon Street, 
CARLTON NORTH VIC 3054",570.0,2,1,1,1,0,0
"2/98 Valetta Street, 
CARRUM VIC 3197",570.0,3,2,2,0,0,1
"1/18 Lillimur Road, 
ORMOND VIC 3204",545.0,2,1,1,1,0,0
"7/300 Como Parade, 
PARKDALE VIC 3195",550.0,2,1,1,1,0,0
"104/86 Cade Way, 
PARKVILLE VIC 3052",550.0,2,2,1,1,0,0
"42 Zenith Street, 
PASCOE VALE VIC 3044",550.0,4,2,2,0,1,0
"1/3 Somerset Street, 
PASCOE VALE VIC 3044",550.0,2,2,1,0,1,0
"3/12 Essex St, 
PASCOE VALE VIC 3044",550.0,3,1,2,0,0,1
"1A Ormond Street, 
PASCOE VALE VIC 3044",550.0,3,1,1,1,0,0
"1842 Melton Highway St, 
PLUMPTON VIC 3335",550.0,4,3,2,0,1,0
"13 Galveston Avenue, 
PLUMPTON VIC 3335",550.0,4,2,2,0,1,0
"7 REEVES STREET, 
POINT COOK VIC 3030",550.0,4,3,2,0,0,1
"39 Pennsylvania Crescent, 
POINT COOK VIC 3030",550.0,3,2,2,0,1,0
"50 Evesham Drive, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"2 Cooktown Avenue, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"7 Reeves Street, 
POINT COOK VIC 3030",550.0,4,3,2,0,0,1
"141 Beachview Parade, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"29 Breakwater Crescent, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"15 The Breezewater, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"20 Exhibition Street, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"8 Bowling Avenue, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"12 Ostend Crescent, 
POINT COOK VIC 3030",550.0,4,2,2,0,1,0
"22 Spirit Boulevard, 
CRANBOURNE EAST VIC 3977",550.0,3,2,2,0,1,0
"10 Gregory Court, 
CRANBOURNE NORTH VIC 3977",550.0,5,3,4,0,1,0
"57 Chantenay Parade, 
CRANBOURNE NORTH VIC 3977",550.0,4,2,2,0,1,0
"115 Courtenay Avenue, 
CRANBOURNE NORTH VIC 3977",550.0,4,2,2,0,1,0
"20 Jasa Crescent, 
CRANBOURNE WEST VIC 3977",550.0,4,2,2,0,1,0
"11 Eminence Drive, 
CRANBOURNE WEST VIC 3977",550.0,3,2,2,0,1,0
"Thomas Street, 
DANDENONG VIC 3175",550.0,1,1, ,1,0,0
"162 Sinclairs Road, 
DEANSIDE VIC 3336",550.0,4,2,2,0,1,0
"164 Sinclairs Road, 
DEANSIDE VIC 3336",550.0,4,2,2,0,1,0
"38 Normanby Boulevard, 
DEANSIDE VIC 3336",550.0,4,2,2,0,1,0
"6 Wrexham Ct, 
DEER PARK VIC 3023",550.0,5,2,2,0,1,0
"100 Main Hurstbridge Road, 
DIAMOND CREEK VIC 3089",550.0,3,1,4,0,1,0
"1312/6-22 Pearl River Road, 
DOCKLANDS VIC 3008",550.0,1,1, ,1,0,0
"1204/387 Docklands Drive, 
DOCKLANDS VIC 3008",550.0,1,1, ,1,0,0
"509/838 Bourke Street, 
DOCKLANDS VIC 3008",550.0,1,1, ,1,0,0
"N210/241 Harbour Esplanade, 
DOCKLANDS VIC 3008",550.0,1,1, ,1,0,0
"1601/8 Pearl River Road, 
DOCKLANDS VIC 3008",550.0,1,1, ,1,0,0
"2301/628 Flinders Street, 
DOCKLANDS VIC 3008",550.0,1,1, ,1,0,0
"6D/8 Waterside Place, 
DOCKLANDS VIC 3008",550.0,1,1,1,1,0,0
"4 Pintail Road, 
ARMSTRONG CREEK VIC 3217",450.0,3,2,1,0,1,0
"1/4 Tallinn Street, 
BELL PARK VIC 3215",450.0,2,1,2,0,0,1
"9 Cambridge Street, 
BELMONT VIC 3216",450.0,3,1,4,0,1,0
"1408/182 Edward Street, 
BRUNSWICK EAST VIC 3057",450.0,1,1,1,1,0,0
"14 Tanino Road, 
CRANBOURNE WEST VIC 3977",450.0,4,2,1,0,0,1
"2/7 Sabine Avenue, 
DANDENONG NORTH VIC 3175",450.0,2,1,1,1,0,0
"55/5 Piney Ridge, 
ENDEAVOUR HILLS VIC 3802",450.0,3,1,1,0,0,1
"5 Pinevale Court, 
EPPING VIC 3076",450.0,3,1,2,0,1,0
"14, Yard Street, 
MAMBOURIN VIC 3024",450.0,4,2,2,0,1,0
"2/7 Prince Street, 
SPRINGVALE VIC 3171",450.0,2,2,1,0,0,1
"54 Duchess Drive, 
ST LEONARDS VIC 3223",450.0,4,2,2,0,1,0
"12 Camelon Avenue, 
THORNHILL PARK VIC 3335",450.0,4,2,2,0,1,0
"18 College Road, 
WERRIBEE VIC 3030",450.0,4,2,2,0,1,0
"103 Welcome Parade, 
WYNDHAM VALE VIC 3024",450.0,4,2,2,0,0,1
"EG07/11 Flockhart St, 
ABBOTSFORD VIC 3067",450.0,2,1, ,1,0,0
"228/4 Acacia Place, 
ABBOTSFORD VIC 3067",450.0,1,1, ,1,0,0
"62 Featherwood Drive, 
AINTREE VIC 3336",450.0,3,2,2,0,1,0
"804/649 Chapel Street, 
SOUTH YARRA VIC 3141",660.0,2,2,1,1,0,0
"13/276A Domain Road, 
SOUTH YARRA VIC 3141",660.0,2,1,1,1,0,0
"152 Sturt St, 
SOUTHBANK VIC 3006",660.0,2,2,1,1,0,0
"1412/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",660.0,2,2, ,1,0,0
"4802/81 City Road, 
SOUTHBANK VIC 3006",660.0,1,1, ,1,0,0
"1713/65 Dudley Street, 
WEST MELBOURNE VIC 3003",660.0,2,1,1,1,0,0
"1406/119 A’Beckett Street, 
MELBOURNE VIC 3000",665.0,2,1, ,1,0,0
"1/23 Laurie Street, 
NEWPORT VIC 3015",665.0,3,2,2,0,1,0
"308/246 Church St, 
RICHMOND VIC 3121",665.0,1,1, ,1,0,0
"2304/259 Normanby Road, 
SOUTH MELBOURNE VIC 3205",665.0,1,1, ,1,0,0
"1406/259 Normanby Road, 
SOUTH MELBOURNE VIC 3205",665.0,1,1, ,1,0,0
"Unit 1402/560 Lonsdale St, 
MELBOURNE VIC 3000",670.0,2,1, ,1,0,0
"604B/609 Victoria Street, 
ABBOTSFORD VIC 3067",670.0,2,2,1,1,0,0
"3/1 Joel Avenue, 
ALTONA NORTH VIC 3025",670.0,3,2,2,0,0,1
"51 Fromer Street, 
BENTLEIGH VIC 3204",670.0,3,1,1,0,1,0
"39 Deakin Street, 
BENTLEIGH EAST VIC 3165",670.0,3,1,3,0,1,0
"108-124 UNION STREET, 
BRUNSWICK VIC 3056",670.0,3,3,1,1,0,0
"73 Broadway, 
BONBEACH VIC 3196",600.0,3,2,2,0,1,0
"16 Wellingford Road, 
CLYDE NORTH VIC 3978",600.0,4,2,2,0,1,0
"2506/628 Flinders Street, 
DOCKLANDS VIC 3008",600.0,1,1, ,1,0,0
"309S/889 Collins Street, 
DOCKLANDS VIC 3008",600.0,1,1,1,1,0,0
"4/303 Young Street, 
FITZROY VIC 3065",600.0,1,1,1,1,0,0
"3912/500 Elizabeth Street, 
MELBOURNE VIC 3000",600.0,2,1, ,1,0,0
"906/55 Queens Road, 
MELBOURNE VIC 3000",600.0,1,1,1,1,0,0
"320 Boundary Road, 
MOUNT DUNEED VIC 3217",600.0,4,2,2,0,1,0
"4/1 Ross Street, 
NIDDRIE VIC 3042",600.0,2,2,1,0,0,1
"15/14-16 Grover St, 
PASCOE VALE VIC 3044",600.0,3,2,2,0,0,1
"9/77 River Street, 
SOUTH YARRA VIC 3141",600.0,2,2,1,1,0,0
"39 Jetty Road, 
WERRIBEE SOUTH VIC 3030",600.0,4,3,2,0,1,0
"413/9 Dryburgh Street, 
WEST MELBOURNE VIC 3003",600.0,1,1,1,1,0,0
"22 Goldstone Grove, 
AINTREE VIC 3336",580.0,4,2,2,0,1,0
"6 Volant Drive, 
ARMSTRONG CREEK VIC 3217",580.0,4,2,4,0,1,0
"17 Rise Avenue, 
ARMSTRONG CREEK VIC 3217",580.0,4,2,2,0,1,0
"722/1 Moreland Street, 
FOOTSCRAY VIC 3011",650.0,2,2,1,0,1,0
"31 Naranga Crescent, 
FRANKSTON VIC 3199",650.0,5,2,2,0,1,0
"135 Aquarius Drive, 
FRANKSTON VIC 3199",650.0,4,2,2,0,1,0
"22 Yuille Street, 
FRANKSTON VIC 3199",650.0,4,2,2,0,1,0
"32 Campbell Street, 
FRANKSTON VIC 3199",650.0,4,2,2,0,1,0
"13 Sarah Place, 
FRANKSTON SOUTH VIC 3199",650.0,4,2,2,0,1,0
"16 Hamilton Grove, 
FRANKSTON SOUTH VIC 3199",650.0,3,2,2,0,1,0
"2/142 Booran Road, 
GLEN HUNTLY VIC 3163",650.0,2,2,1,1,0,0
"6 Clitus Street, 
GLEN WAVERLEY VIC 3150",650.0,4,2,3,0,1,0
"24 George Street, 
GLENROY VIC 3046",650.0,3,2,1,0,1,0
"17 Lancaster Court, 
GREENVALE VIC 3059",650.0,4,2,5,0,1,0
"21 Honey Flower Way, 
GREENVALE VIC 3059",650.0,4,2,2,0,1,0
"6 St James Road, 
HEIDELBERG VIC 3084",650.0,3,2,2,0,1,0
"1/51 Yarra Street, 
HEIDELBERG VIC 3084",650.0,3,1,2,0,0,1
"1/161 Porter Road, 
HEIDELBERG HEIGHTS VIC 3081",650.0,4,3,2,0,0,1
"11 Monamie Avenue, 
HIGHETT VIC 3190",650.0,3,1,3,0,1,0
"1/6 Bletchley Road, 
HUGHESDALE VIC 3166",650.0,3,1,2,1,0,0
"311/59-63 Warrigal Road, 
HUGHESDALE VIC 3166",650.0,2,2,1,1,0,0
"8/465 Macaulay Road, 
KENSINGTON VIC 3031",650.0,2,1, ,1,0,0
"141 La Trobe, 
MELBOURNE VIC 3000",600.0,2,1, ,0,1,0
"2613/33 MacKenzie Street, 
MELBOURNE VIC 3000",600.0,1,1,1,1,0,0
"2303/462 Elizabeth Street, 
MELBOURNE VIC 3000",600.0,1,1, ,1,0,0
"1021/1 Queens Road, 
MELBOURNE VIC 3004",600.0, ,1, ,1,0,0
"4809/398 Elizabeth Street, 
MELBOURNE VIC 3000",600.0,1,1, ,1,0,0
"904/81 A Beckett St, 
MELBOURNE VIC 3000",600.0,1,1, ,1,0,0
"335/539 St Kilda Road, 
MELBOURNE VIC 3004",600.0,1,1,1,1,0,0
"1B1B1Study/642 Lonsdale Street, 
MELBOURNE VIC 3000",600.0,1,1, ,1,0,0
"1406/31 A'Beckett St, 
MELBOURNE VIC 3000",595.0,2,1, ,1,0,0
"612/108 Flinders Street, 
MELBOURNE VIC 3000",600.0,1,1, ,1,0,0
"2407/250 Elizabeth Street, 
MELBOURNE VIC 3000",595.0,2,1, ,1,0,0
"303/253 Franklin Street, 
MELBOURNE VIC 3000",600.0,2,1, ,1,0,0
"1209/233 Collins St, 
MELBOURNE VIC 3000",600.0,2,1, ,1,0,0
"4908/33 ROSE LANE, 
MELBOURNE VIC 3000",600.0,2,1,1,1,0,0
"74/234 Flinders Lane, 
MELBOURNE VIC 3000",600.0,2,1, ,1,0,0
"25/32 Queens Road, 
MELBOURNE VIC 3004",600.0,2,1,1,1,0,0
"708A/260 Spencer Street, 
MELBOURNE VIC 3000",600.0,1,1,1,1,0,0
"1003/31 Abeckett Street, 
MELBOURNE VIC 3000",595.0,2,1, ,1,0,0
"2306d/648 Lonsdale Street, 
MELBOURNE VIC 3000",600.0,1,1, ,1,0,0
"G10/11 Renver Road, 
CLAYTON VIC 3168",590.0,2,2,1,1,0,0
"46 Goleen Street, 
COBURG VIC 3058",590.0,3,1,2,0,0,1
"4 Pepperbush Circuit, 
CRANBOURNE VIC 3977",590.0,4,2,2,0,1,0
"6 Berrima Court, 
CRANBOURNE NORTH VIC 3977",590.0,4,2,2,0,1,0
"1/13 Orgill Street, 
DANDENONG VIC 3175",590.0,4,1,2,0,0,1
"3406/628 Flinders Street, 
DOCKLANDS VIC 3008",590.0,1,1, ,1,0,0
"1510/15 Doepel Way, 
DOCKLANDS VIC 3008",590.0,2,1,1,1,0,0
"1/185 Ormond Road, 
ELWOOD VIC 3184",590.0,2,1, ,1,0,0
"207/62-64 Station St, 
FAIRFIELD VIC 3078",590.0,2,2,1,1,0,0
"501/338 Gore Street, 
FITZROY VIC 3065",590.0,1,1,1,1,0,0
"1904/6 Joseph Road, 
FOOTSCRAY VIC 3011",590.0,2,2,1,1,0,0
"1410/4 Joseph Road, 
FOOTSCRAY VIC 3011",590.0,2,2,1,1,0,0
"26 Hillcrest Road, 
FRANKSTON VIC 3199",590.0,3,2,4,0,1,0
"64 Armata Crescent, 
FRANKSTON NORTH VIC 3200",590.0,4,2,2,0,1,0
"4 Waratah Street, 
GLEN WAVERLEY VIC 3150",590.0,5,3,4,0,1,0
