Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"58 Melfin Drive, 
HILLSIDE VIC 3037",480.0,3,2,1,0,0,1
"24 Toulouse Crescent, 
HOPPERS CROSSING VIC 3029",480.0,3,2,2,0,1,0
"6/94 St Elmo Road, 
IVANHOE VIC 3079",480.0,2,1,1,1,0,0
"4/88 Marshall Street, 
IVANHOE VIC 3079",480.0,2,1,1,1,0,0
"74 Arcturus Drive, 
KALKALLO VIC 3064",480.0,4,2,1,0,1,0
"316/80 Ormond Street, 
KENSINGTON VIC 3031",480.0,2,1,1,1,0,0
"506/70 Speakmen Street, 
KENSINGTON VIC 3031",480.0,2,2,1,1,0,0
"53 Bundeena Avenue, 
KEYSBOROUGH VIC 3173",480.0,3,1,1,0,1,0
"4 Somerset Drive, 
KEYSBOROUGH VIC 3173",480.0,3,1,1,0,1,0
"39 Kirkton Drive, 
KURUNJANG VIC 3337",480.0,4,2,2,0,1,0
"7 Louise Street, 
LALOR VIC 3075",480.0,3,1,1,0,1,0
"1/84 Bluff Road, 
BLACK ROCK VIC 3193",640.0,2,2,2,1,0,0
"203B/640 Swanston Street, 
CARLTON VIC 3053",640.0,2,1,1,1,0,0
"6/27 Malvern Grove, 
CAULFIELD VIC 3162",640.0,3,2,1,1,0,0
"71 Spectrum Crescent, 
CLYDE NORTH VIC 3978",640.0,4,2,2,0,1,0
"2/101 Point Nepean Road, 
DROMANA VIC 3936",640.0,3,1,1,1,0,0
"2 Lee Street, 
FLEMINGTON VIC 3031",640.0,2,1, ,0,1,0
"2/6 Lansbury Crescent, 
HIGHTON VIC 3216",640.0,4,3,2,0,0,1
"60 Parkwood Drive, 
HIGHTON VIC 3216",640.0,4,2,2,0,1,0
"8 Derby Street, 
KENSINGTON VIC 3031",640.0,3,2,1,0,0,1
"1810/80 A Beckett St, 
MELBOURNE VIC 3000",640.0,2,1, ,1,0,0
"3004/318 Queen Street, 
MELBOURNE VIC 3000",640.0,2,1, ,1,0,0
"1408/25 Therry Street, 
MELBOURNE VIC 3000",640.0,2,1, ,1,0,0
"2409/639 Lonsdale Street, 
MELBOURNE VIC 3000",640.0,2,1, ,1,0,0
"2901/200 Spencer Street, 
MELBOURNE VIC 3000",640.0,2,1,1,1,0,0
