Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
33,"999 Heidelberg Road, 
IVANHOE VIC 3079",IVANHOE,690.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,145.040578,37.772872
34,"19 Weighbridge Lane, 
KENSINGTON VIC 3031",KENSINGTON,690.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,144.924605,37.789615
35,"16 Roycroft Avenue, 
BURNSIDE VIC 3023",BURNSIDE,700.0,5855.0,2294.3,37.3,3726.0,0.0,0.0,0.0,10.0,13.0,22.0,3.0,11.0,0.0,20.0,1561.0,309.0,15.0,400.0,173.0,4.0,99.0,144.750539,37.751316
36,"29 Browns Road, 
CLAYTON VIC 3168",CLAYTON,700.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.12701,37.925128
37,"G05/2-8 Murray Street, 
CLAYTON VIC 3168",CLAYTON,700.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
38,"12A McBean Street, 
CLAYTON VIC 3168",CLAYTON,700.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.110552,37.923905
39,GLENROY VIC 3046,GLENROY,330.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.92754,37.70282
40,"1/6 Bruce Street, 
LAVERTON VIC 3028",LAVERTON,330.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,144.766864,37.866523
41,"1/3A Kinloch Road, 
MELTON VIC 3337",MELTON,330.0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,144.569665,37.688752
42,"1/35 Corrigan Road, 
NOBLE PARK VIC 3174",NOBLE PARK,330.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,145.168543,37.964506
43,"1 O'Connell Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,330.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,144.956795,37.802511
44,"219/3-11 High Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,330.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,,
45,"1/30 Aberdeen Grove, 
NORTHCOTE VIC 3070",NORTHCOTE,330.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,144.992554,37.77437
