Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
2666,"3214/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2667,"518/65 Coventry Street, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.966673,37.830006
2668,"2203/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,540.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2669,"9 McNamara Road, 
LAVERTON VIC 3028",LAVERTON,420.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,144.772178,37.85425
2670,"6/14 Navigator Street, 
MARIBYRNONG VIC 3032",MARIBYRNONG,420.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,144.89861,37.76591
2671,"2/60 Middle Road, 
MARIBYRNONG VIC 3032",MARIBYRNONG,420.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,144.89199,37.767943
2672,"506/7 Thomas Holmes Street, 
MARIBYRNONG VIC 3032",MARIBYRNONG,420.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,144.893696,37.784874
2673,"2/4 Shankland Boulevard, 
MEADOW HEIGHTS VIC 3048",MEADOW HEIGHTS,420.0,15078.0,3260.0,33.6,10091.0,0.0,0.0,83.0,36.0,16.0,69.0,13.0,44.0,14.0,10.0,3883.0,843.0,57.0,346.0,1300.0,152.0,176.0,144.92131,37.648132
2674,"6A Care Close, 
MEADOW HEIGHTS VIC 3048",MEADOW HEIGHTS,420.0,15078.0,3260.0,33.6,10091.0,0.0,0.0,83.0,36.0,16.0,69.0,13.0,44.0,14.0,10.0,3883.0,843.0,57.0,346.0,1300.0,152.0,176.0,144.921769,37.645354
2675,"617/14 David Street, 
RICHMOND VIC 3121",RICHMOND,799.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.011816,37.814798
2676,"6/1A Sandown Road, 
ASCOT VALE VIC 3032",ASCOT VALE,795.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.919504,37.783125
2677,"31 Church Street, 
BEAUMARIS VIC 3193",BEAUMARIS,800.0,14124.0,2366.7,47.6,8464.0,0.0,0.0,8.0,101.0,98.0,47.0,46.0,47.0,3.0,58.0,4283.0,880.0,312.0,612.0,644.0,18.0,142.0,145.047389,37.975122
2678,"144 Patterson Road, 
BENTLEIGH VIC 3204",BENTLEIGH,800.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,145.038683,37.926354
2679,"81 Brewer Road, 
BENTLEIGH VIC 3204",BENTLEIGH,800.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,145.036597,37.922072
2680,"25 Campbell Street, 
BENTLEIGH VIC 3204",BENTLEIGH,795.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,145.033073,37.917765
2681,"27/69 Dorcas Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.963876,37.832048
2682,"114 Palmerston Crescent, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.969814,37.834264
2683,"609/2-14 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
2684,"184 Pickles Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,800.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.949456,37.83551
2685,"108/68 Argo Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.991022,37.844411
2686,"2101/3 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.9931,37.835947
2687,"2a Nicholson Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.985789,37.842395
2688,"804/8 Garden St, 
SOUTH YARRA VIC 3141",SOUTH YARRA,800.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.998593,37.843515
2689,"4701/70 Southbank Bvd, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2690,"2910/241 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2691,"1908/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2692,"3712/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2693,"3303/133 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2694,"4801/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2695,"6209/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,795.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2696,"302/40-44 Pakington Street, 
ST KILDA VIC 3182",ST KILDA,430.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,,
2697,"16 Learmonth Street, 
SUNBURY VIC 3429",SUNBURY,430.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.696415,37.581055
2698,"14 Aldridge Dr, 
SUNBURY VIC 3429",SUNBURY,430.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.720107,37.561672
2699,"22 Sacras Court, 
SYDENHAM VIC 3037",SYDENHAM,430.0,11866.0,3005.6,36.7,8264.0,0.0,0.0,40.0,39.0,18.0,63.0,9.0,29.0,6.0,12.0,2744.0,1356.0,104.0,366.0,1182.0,14.0,353.0,144.769122,37.697974
2700,"4/3 Malachite Drive, 
TARNEIT VIC 3029",TARNEIT,430.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.668806,37.843958
2701,"5 Cambridge Court, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.033242,37.684383
2702,"14 Tanjil Court, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.002968,37.676883
2703,"21 Central Avenue, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.012034,37.678118
2704,"85 Cedar Street, 
THOMASTOWN VIC 3074",THOMASTOWN,430.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.015564,37.679518
2705,"228 Flinders Street, 
THORNBURY VIC 3071",THORNBURY,430.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,145.026559,37.758735
2706,"9/14 Smith Street, 
THORNBURY VIC 3071",THORNBURY,430.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,144.984777,37.75594
2707,"1902/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
2708,"406/33 claremont street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
2709,"1506/229 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,,
2710,"6/240 Domain Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.985484,37.834515
2711,"202/52 Darling Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.992045,37.835332
2712,"506/45 Claremont Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.993849,37.837758
2713,"2/23 Alexandra Avenue, 
SOUTH YARRA VIC 3141",SOUTH YARRA,550.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,145.004497,37.834657
2714,"3105/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2715,"908/65 Coventry Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.966673,37.830006
2716,"66/100 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.965251,37.823044
2717,"3*02/18 Hoff Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2718,"68/100 Kavanagh St, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.965251,37.823044
2719,"4306/60 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2720,"501/33 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.963359,37.822981
2721,"280/88 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.965251,37.823044
2722,"5817/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2723,"1803/81 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2724,"228/100 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.965251,37.823044
2725,"704/43 Hancock Street, 
SOUTHBANK VIC 3006",SOUTHBANK,550.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.959522,37.827642
2726,"209/366 Church Street, 
RICHMOND VIC 3121",RICHMOND,500.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,,
2727,"303/136 Burnley Street, 
RICHMOND VIC 3121",RICHMOND,500.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,,
2728,"108/136 Burnley Street, 
RICHMOND VIC 3121",RICHMOND,500.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.009658,37.812605
2729,"7 Kempton Court, 
SEABROOK VIC 3028",SEABROOK,500.0,5002.0,3087.8,37.1,3399.0,0.0,0.0,18.0,11.0,11.0,23.0,8.0,11.0,3.0,3.0,1726.0,58.0,25.0,361.0,326.0,10.0,119.0,144.760838,37.879033
2730,"17/63 Dorcas Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,500.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.963876,37.832048
2731,"308/148 Wells Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,500.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,,
2732,"802/38 Albert Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,500.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.961343,37.840366
2733,"16 Ellendale Way, 
SOUTH MORANG VIC 3752",SOUTH MORANG,500.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,145.078105,37.63648
2734,"224 The Lakes Boulevard, 
SOUTH MORANG VIC 3752",SOUTH MORANG,500.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,145.07064,37.62926
2735,"15 Curtis Avenue, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,625.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,145.112798,37.890409
2736,"2 Sundown Court, 
NARRE WARREN VIC 3805",NARRE WARREN,570.0,52128.0,7667.0,147.8,35723.0,0.0,0.0,122.0,189.0,139.0,211.0,49.0,105.0,24.0,40.0,15242.0,746.0,35.0,1592.0,2387.0,253.0,677.0,145.292312,38.015157
2737,"9 Croker Street, 
NEWPORT VIC 3015",NEWPORT,570.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,144.875856,37.84714
2738,"1205/91 Galada Avenue, 
PARKVILLE VIC 3052",PARKVILLE,570.0,7446.0,1838.9,26.8,6202.0,0.0,0.0,32.0,213.0,48.0,33.0,13.0,35.0,0.0,10.0,55.0,948.0,1811.0,396.0,1377.0,84.0,447.0,144.941641,37.78199
2739,"8 Octavia Street, 
POINT COOK VIC 3030",POINT COOK,570.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,144.751264,37.91106
2740,"9 Peckville St, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,570.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.935231,37.834727
2741,"11 Gentle Walk, 
DOREEN VIC 3754",DOREEN,450.0,27064.0,3853.6,66.6,17539.0,0.0,0.0,144.0,81.0,38.0,83.0,13.0,42.0,9.0,93.0,8611.0,492.0,32.0,786.0,1856.0,37.0,446.0,145.129715,37.596068
2742,"4/1 Andrews Street, 
ELTHAM VIC 3095",ELTHAM,450.0,23711.0,1216.7,43.1,15046.0,0.0,0.0,21.0,189.0,101.0,106.0,53.0,66.0,9.0,32.0,7485.0,431.0,624.0,446.0,856.0,36.0,319.0,145.162792,37.704368
2743,"10 Dobell Avenue, 
SUNBURY VIC 3429",SUNBURY,450.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.704299,37.576891
2744,"504/62 Carlisle Street, 
ST KILDA VIC 3182",ST KILDA,395.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,144.987045,37.867935
2745,"46/145 Canterbury Road, 
TOORAK VIC 3142",TOORAK,395.0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,,
2746,"22 ALBATROSS AVENUE, 
WERRIBEE VIC 3030",WERRIBEE,395.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.668476,37.888997
2747,"12/14 Stevedore Street, 
WILLIAMSTOWN VIC 3016",WILLIAMSTOWN,395.0,16074.0,2188.0,45.0,10333.0,0.0,0.0,38.0,156.0,107.0,65.0,42.0,106.0,3.0,75.0,3629.0,2228.0,1183.0,450.0,1561.0,13.0,340.0,144.892748,37.85635
2748,"23A Balaclava Avenue, 
ALTONA MEADOWS VIC 3028",ALTONA MEADOWS,400.0,18665.0,1770.6,40.9,12311.0,0.0,0.0,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,144.78413,37.874842
2749,"6/8-12 Epsom Road, 
ASCOT VALE VIC 3032",ASCOT VALE,400.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.905364,37.770743
2750,"9 Heywood Crescent, 
BROADMEADOWS VIC 3047",BROADMEADOWS,400.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,144.912568,37.677266
2751,"1 Windermere Street, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,650.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.16337,37.999858
2752,"6 Verde Lane, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,650.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.16897,38.00354
2753,"20 Mulberry Grove, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,650.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.159386,38.004826
2754,"2005/60 Dorcas, 
SOUTHBANK VIC 3006",SOUTHBANK,590.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2755,"113/22 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,590.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.965251,37.823044
2756,"1602/35-51 Hancock Street, 
SOUTHBANK VIC 3006",SOUTHBANK,590.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2757,"23 Possum Tail Run, 
SUNBURY VIC 3429",SUNBURY,590.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,,
2758,"14 Bowman Court, 
TAYLORS HILL VIC 3037",TAYLORS HILL,590.0,19800.0,3317.7,34.5,13247.0,0.0,0.0,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,0.0,400.0,707.0,82.0,333.0,144.750042,37.717786
2759,"29A Comas Grove, 
THORNBURY VIC 3071",THORNBURY,590.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,144.984863,37.756033
2760,"16/415 Toorak Road, 
TOORAK VIC 3142",TOORAK,590.0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,145.029047,37.843556
