,Address,Suburb,Prices,Type_Apartment,Type_House,Type_Townhouse,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Extracted_Address,latitude,longitude,num_stops,num_stations,num_schools,num_landmarks,distance to CBD,total_transport,Bedroom,Bathroom,Median equivalised total household income (weekly) ($)
197,"125/56 Nicholson Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,640.0,1,0,0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,"56 Nicholson Street, 
ABBOTSFORD VIC 3067",-37.8075318,144.9965233,4.0,2.0,31.0,0.0,6.0,6.0,2,2,2097.0
198,"404/6 Acacia Pl, 
ABBOTSFORD VIC 3067",ABBOTSFORD,640.0,1,0,0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,"6 Acacia Pl, 
ABBOTSFORD VIC 3067",-37.8116124,145.0138185,3.0,0.0,32.0,0.0,8.7,3.0,2,2,1627.0
199,"305/251 Johnston Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,640.0,1,0,0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,"251 Johnston Street, 
ABBOTSFORD VIC 3067",-37.8002144,144.995012,0.0,2.0,38.0,0.0,5.0,2.0,2,2,2566.0
200,"8/168 Victoria Avenue, 
ALBERT PARK VIC 3206",ALBERT PARK,640.0,1,0,0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,"168 Victoria Avenue, 
ALBERT PARK VIC 3206",-37.84693065,144.94856010498586,3.0,0.0,0.0,0.0,14.1,3.0,2,1,844.0
201,"1/1002 Mt Alexander Road, 
ESSENDON VIC 3040",ESSENDON,480.0,1,0,0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,"1002 Mt Alexander Road, 
ESSENDON VIC 3040",-37.7547779,144.9171895,2.0,1.0,26.0,0.0,7.8,3.0,2,1,2502.0
202,"240B McBryde Street, 
FAWKNER VIC 3060",FAWKNER,480.0,0,0,1,14193.0,2791.3,34.8,8969.0,0.0,0.0,36.0,63.0,14.0,63.0,17.0,47.0,6.0,26.0,4386.0,861.0,25.0,380.0,1410.0,69.0,460.0,"240B McBryde Street, 
FAWKNER VIC 3060",-37.716152,144.9746793,0.0,0.0,12.0,0.0,9.4,0.0,2,1,1786.0
203,"67/50 King William Street, 
FITZROY VIC 3065",FITZROY,480.0,1,0,0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,"50 King William Street, 
FITZROY VIC 3065",-37.8019866,144.974334,2.0,0.0,36.0,11.0,4.2,2.0,1,1,1432.0
204,"1504/8 Hallenstein Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,480.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"8 Hallenstein Street, 
FOOTSCRAY VIC 3011",-37.8001089,144.9084497,0.0,1.0,14.0,0.0,9.0,1.0,2,2,1693.0
205,"1001D/4 Tannery Walk, 
FOOTSCRAY VIC 3011",FOOTSCRAY,480.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"4 Tannery Walk, 
FOOTSCRAY VIC 3011",-37.8001343,144.9065952,2.0,1.0,15.0,0.0,9.1,3.0,2,2,1693.0
206,"103A/48 Cowper Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,480.0,1,0,0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,"48 Cowper Street, 
FOOTSCRAY VIC 3011",-37.798355,144.9053087,2.0,0.0,15.0,0.0,9.0,2.0,1,1,1693.0
207,"36 Lucerne Crescent, 
FRANKSTON VIC 3199",FRANKSTON,480.0,0,1,0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"36 Lucerne Crescent, 
FRANKSTON VIC 3199",-38.1463748,145.1664942,0.0,0.0,9.0,0.0,66.1,0.0,4,1,1727.0
208,"2 Foot Street, 
FRANKSTON VIC 3199",FRANKSTON,480.0,0,1,0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"2 Foot Street, 
FRANKSTON VIC 3199",-38.1532333,145.1327979,0.0,0.0,14.0,0.0,66.9,0.0,3,1,1459.0
209,"32 Milford Crescent, 
FRANKSTON VIC 3199",FRANKSTON,480.0,0,1,0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"32 Milford Crescent, 
FRANKSTON VIC 3199",-38.1426712,145.1645871,0.0,0.0,9.0,0.0,66.0,0.0,3,1,809.0
210,"10/27 Seymour Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,365.0,1,0,0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,"27 Seymour Road, 
ELSTERNWICK VIC 3185",-37.8806429,145.0101608,0.0,0.0,31.0,0.0,16.0,0.0,1,1,3306.0
211,"3/126 Glen Huntly Road, 
ELWOOD VIC 3184",ELWOOD,365.0,1,0,0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,"126 Glen Huntly Road, 
ELWOOD VIC 3184",-37.8817507,144.9783607,0.0,0.0,23.0,0.0,14.0,0.0,1,1,1233.0
212,"15 Brixton Place, 
MELTON VIC 3337",MELTON,365.0,0,1,0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,"15 Brixton Place, 
MELTON VIC 3337",-37.6752989,144.5827493,0.0,0.0,0.0,0.0,41.4,0.0,3,1,1233.0
213,"14/27 Griffiths Street, 
RICHMOND VIC 3121",RICHMOND,365.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"27 Griffiths Street, 
RICHMOND VIC 3121",-37.8175232,145.002868,13.0,0.0,33.0,0.0,7.8,13.0,1,1,1233.0
214,"7/15 Fraser Street, 
RICHMOND VIC 3121",RICHMOND,365.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"15 Fraser Street, 
RICHMOND VIC 3121",-37.82077,145.0062281,3.0,0.0,33.0,0.0,8.5,3.0,1,1,2972.0
215,"9/27 Griffiths Street, 
RICHMOND VIC 3121",RICHMOND,365.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"27 Griffiths Street, 
RICHMOND VIC 3121",-37.8175232,145.002868,13.0,0.0,33.0,0.0,7.8,13.0,1,1,2972.0
216,"11/6-10 Latham Street, 
WERRIBEE VIC 3030",WERRIBEE,365.0,1,0,0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,"6-10 Latham Street, 
WERRIBEE VIC 3030",-37.8741792,144.6572279,0.0,0.0,14.0,0.0,47.2,0.0,2,1,2972.0
217,"1/66 Donald Street, 
ALTONA MEADOWS VIC 3028",ALTONA MEADOWS,370.0,1,0,0,18665.0,1770.6,40.9,12311.0,0.0,0.0,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,"66 Donald Street, 
ALTONA MEADOWS VIC 3028",-37.873393,144.7681767,0.0,0.0,0.0,0.0,28.4,0.0,2,1,1548.0
218,"2/4 Woods Street, 
ASCOT VALE VIC 3032",ASCOT VALE,370.0,1,0,0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,"4 Woods Street, 
ASCOT VALE VIC 3032",-37.7731784,144.9003994,2.0,0.0,0.0,0.0,7.2,2.0,1,1,1641.0
219,"3/33 Peppercorn Parade, 
EPPING VIC 3076",EPPING,325.0,1,0,0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,"33 Peppercorn Parade, 
EPPING VIC 3076",-37.6514302,145.0391791,0.0,0.0,0.0,0.0,18.5,0.0,1,1,1619.0
220,"4/6 Ashleigh Avenue, 
FRANKSTON VIC 3199",FRANKSTON,325.0,0,1,0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,"6 Ashleigh Avenue, 
FRANKSTON VIC 3199",-38.14667225,145.146129152215,0.0,0.0,13.0,0.0,66.7,0.0,1,1,1539.0
221,"2/18 Gerald Street, 
MURRUMBEENA VIC 3163",MURRUMBEENA,325.0,1,0,0,9471.0,3766.1,37.8,6581.0,0.0,0.0,16.0,57.0,56.0,44.0,13.0,38.0,3.0,19.0,1970.0,1105.0,1185.0,390.0,1321.0,36.0,400.0,"18 Gerald Street, 
MURRUMBEENA VIC 3163",-37.8965157,145.0693293,0.0,0.0,19.0,0.0,24.9,0.0,1,1,1539.0
222,"5/23 Broadmeadows Rd, 
TULLAMARINE VIC 3043",TULLAMARINE,325.0,1,0,0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,"23 Broadmeadows Rd, 
TULLAMARINE VIC 3043",-37.7070485,144.878831,0.0,0.0,6.0,0.0,15.5,0.0,2,1,1539.0
223,"22/39 Kent Street, 
ASCOT VALE VIC 3032",ASCOT VALE,330.0,1,0,0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,"39 Kent Street, 
ASCOT VALE VIC 3032",-37.7806046,144.9290373,6.0,0.0,26.0,0.0,5.8,6.0,1,1,3085.0
224,"10/556 Moreland Road, 
BRUNSWICK VIC 3056",BRUNSWICK,330.0,1,0,0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"556 Moreland Road, 
BRUNSWICK VIC 3056",-37.7553969,144.9638512,13.0,1.0,29.0,0.0,3.8,14.0,2,1,992.0
225,"9/48 Boadle Road, 
BUNDOORA VIC 3083",BUNDOORA,330.0,1,0,0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,"48 Boadle Road, 
BUNDOORA VIC 3083",-37.7031122,145.0549143,3.0,0.0,14.0,0.0,13.5,3.0,1,1,1468.0
226,"4/55 Mimosa Road, 
CARNEGIE VIC 3163",CARNEGIE,330.0,1,0,0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,"55 Mimosa Road, 
CARNEGIE VIC 3163",-37.8863353,145.0530376,2.0,0.0,23.0,0.0,20.0,2.0,1,1,2818.0
227,"4/36 Woornack Road, 
CARNEGIE VIC 3163",CARNEGIE,330.0,1,0,0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,"36 Woornack Road, 
CARNEGIE VIC 3163",-37.8982233,145.0610933,0.0,0.0,22.0,0.0,21.8,0.0,1,1,2972.0
228,"7/107 Rose Street, 
COBURG VIC 3058",COBURG,330.0,1,0,0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,"107 Rose Street, 
COBURG VIC 3058",-37.7430052,144.9472264,5.0,0.0,27.0,0.0,6.7,5.0,1,1,1361.0
229,"3/107 Rose Street, 
COBURG VIC 3058",COBURG,330.0,1,0,0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,"107 Rose Street, 
COBURG VIC 3058",-37.7430052,144.9472264,5.0,0.0,27.0,0.0,6.7,5.0,1,1,935.0
230,"3/1 Tinto Close, 
DEER PARK VIC 3023",DEER PARK,330.0,1,0,0,18230.0,2257.1,35.3,11941.0,0.0,0.0,55.0,47.0,29.0,91.0,10.0,54.0,3.0,9.0,5721.0,810.0,55.0,350.0,1717.0,174.0,430.0,"1 Tinto Close, 
DEER PARK VIC 3023",-37.7618165,144.7597009,0.0,0.0,0.0,0.0,26.2,0.0,3,1,1468.0
231,"2/220 Pascoe Vale Road, 
ESSENDON VIC 3040",ESSENDON,330.0,1,0,0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,"220 Pascoe Vale Road, 
ESSENDON VIC 3040",-37.7514398,144.925344,2.0,1.0,35.0,0.0,7.1,3.0,1,1,5812.0
232,"1/48 Scott St, 
ESSENDON VIC 3040",ESSENDON,330.0,1,0,0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,"48 Scott St, 
ESSENDON VIC 3040",-37.7582199,144.9080178,0.0,0.0,28.0,0.0,7.3,0.0,1,1,5812.0
233,"10 Natura Avenue, 
WERRIBEE VIC 3030",WERRIBEE,500.0,0,1,0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,"10 Natura Avenue, 
WERRIBEE VIC 3030",-37.9159745,144.6455736,0.0,0.0,3.0,0.0,53.9,0.0,4,2,1870.0
234,"20 Birchwood Street, 
FAWKNER VIC 3060",FAWKNER,500.0,0,1,0,14193.0,2791.3,34.8,8969.0,0.0,0.0,36.0,63.0,14.0,63.0,17.0,47.0,6.0,26.0,4386.0,861.0,25.0,380.0,1410.0,69.0,460.0,"20 Birchwood Street, 
FAWKNER VIC 3060",-37.6928974,144.9653981,0.0,0.0,11.0,0.0,11.3,0.0,3,1,1306.0
235,"25 Eagleview Place, 
POINT COOK VIC 3030",POINT COOK,690.0,0,1,0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,"25 Eagleview Place, 
POINT COOK VIC 3030",-37.8870174,144.7662522,0.0,0.0,0.0,0.0,32.2,0.0,4,2,1306.0
236,"204 Princes Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,690.0,0,1,0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,"204 Princes Street, 
PORT MELBOURNE VIC 3207",-37.8374609,144.93899266030868,2.0,0.0,0.0,0.0,12.9,2.0,2,1,3730.0
237,"308/115 Church Street, 
RICHMOND VIC 3121",RICHMOND,690.0,1,0,0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,"115 Church Street, 
RICHMOND VIC 3121",-37.8108568,145.0005503,11.0,1.0,33.0,0.0,6.8,12.0,2,2,3730.0
238,"2805/89 Gladstone Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,690.0,1,0,0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,"89 Gladstone Street, 
SOUTH MELBOURNE VIC 3205",-37.8301288,144.9500220120891,2.0,0.0,9.0,3.0,11.6,2.0,2,2,821.0
239,"808/3 Yarra Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,690.0,1,0,0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,"3 Yarra Street, 
SOUTH YARRA VIC 3141",-37.8359474,144.9931004,3.0,1.0,24.0,0.0,9.1,4.0,2,1,1459.0
240,"506S/227 Toorak Road, 
SOUTH YARRA VIC 3141",SOUTH YARRA,690.0,1,0,0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,"227 Toorak Road, 
SOUTH YARRA VIC 3141",-37.8389465,144.9913174,10.0,0.0,30.0,2.0,9.3,10.0,2,2,1459.0
241,"7/2 Pasley Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,690.0,1,0,0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,"2 Pasley Street, 
SOUTH YARRA VIC 3141",-37.8429813,144.9844144,3.0,0.0,29.0,2.0,9.7,3.0,2,1,3085.0
242,"2808/60 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,690.0,1,0,0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,"60 Kavanagh Street, 
SOUTHBANK VIC 3006",-37.8230438,144.9652507,6.0,0.0,19.0,22.0,7.9,6.0,2,2,809.0
243,"C204/14 Trenerry Crescent, 
ABBOTSFORD VIC 3067",ABBOTSFORD,700.0,1,0,0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,"14 Trenerry Crescent, 
ABBOTSFORD VIC 3067",-37.8000381,145.0000366,0.0,0.0,35.0,0.0,5.4,0.0,2,2,2329.0
244,"227/631 Victoria Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,700.0,1,0,0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,"631 Victoria Street, 
ABBOTSFORD VIC 3067",-37.810936,145.00927995896862,7.0,0.0,32.0,0.0,9.1,7.0,2,2,5143.0
245,"16 Moubray Lane, 
ALBERT PARK VIC 3206",ALBERT PARK,695.0,0,1,0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,"16 Moubray Lane, 
ALBERT PARK VIC 3206",-37.84369965,144.95334671566036,7.0,0.0,0.0,0.0,14.2,7.0,2,1,1786.0
246,"1 Draper Street, 
ALBERT PARK VIC 3206",ALBERT PARK,700.0,0,1,0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,"1 Draper Street, 
ALBERT PARK VIC 3206",-37.8374969,144.95648433724682,12.0,0.0,0.0,0.0,12.8,12.0,2,2,1539.0
247,"3/39 Kooyong Road, 
ARMADALE VIC 3143",ARMADALE,700.0,1,0,0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,"39 Kooyong Road, 
ARMADALE VIC 3143",-37.8562349,145.0205739,10.0,1.0,38.0,0.0,13.7,11.0,2,2,1626.0
248,"904/8A Evergreen Mews, 
ARMADALE VIC 3143",ARMADALE,700.0,1,0,0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,"8A Evergreen Mews, 
ARMADALE VIC 3143",-37.8518168,145.0129015,9.0,1.0,32.0,0.0,12.6,10.0,2,2,5129.0
249,"28 Balmoral Avenue, 
BENTLEIGH VIC 3204",BENTLEIGH,700.0,0,1,0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,"28 Balmoral Avenue, 
BENTLEIGH VIC 3204",-37.9157704,145.0470432,0.0,0.0,0.0,0.0,23.5,0.0,3,2,5129.0
250,"5/16-18 Spink Street, 
BRIGHTON VIC 3186",BRIGHTON,700.0,1,0,0,39748.0,5788.0,92.0,23818.0,0.0,0.0,32.0,588.0,514.0,206.0,116.0,186.0,6.0,360.0,10160.0,3920.0,2609.0,1202.0,3251.0,28.0,665.0,"16-18 Spink Street, 
BRIGHTON VIC 3186",-37.8980471,145.0041941,0.0,2.0,27.0,0.0,16.3,2.0,3,2,5129.0
251,"13/350 New Street, 
BRIGHTON VIC 3186",BRIGHTON,695.0,1,0,0,39748.0,5788.0,92.0,23818.0,0.0,0.0,32.0,588.0,514.0,206.0,116.0,186.0,6.0,360.0,10160.0,3920.0,2609.0,1202.0,3251.0,28.0,665.0,"350 New Street, 
BRIGHTON VIC 3186",-37.901868025,144.99382795,0.0,0.0,24.0,0.0,16.5,0.0,2,1,1432.0
252,"2/273 St Kilda Street, 
BRIGHTON VIC 3186",BRIGHTON,700.0,1,0,0,39748.0,5788.0,92.0,23818.0,0.0,0.0,32.0,588.0,514.0,206.0,116.0,186.0,6.0,360.0,10160.0,3920.0,2609.0,1202.0,3251.0,28.0,665.0,"273 St Kilda Street, 
BRIGHTON VIC 3186",-37.8837346,144.9921995,3.0,1.0,30.0,0.0,14.6,4.0,2,1,1693.0
253,"6 Cliff Street, 
BRUNSWICK VIC 3056",BRUNSWICK,695.0,0,1,0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"6 Cliff Street, 
BRUNSWICK VIC 3056",-37.7642981,144.957294,0.0,1.0,26.0,0.0,3.2,1.0,3,1,1693.0
254,"41 Pearson Street, 
BRUNSWICK VIC 3056",BRUNSWICK,695.0,0,1,0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"41 Pearson Street, 
BRUNSWICK VIC 3056",-37.7656263,144.9492908,6.0,0.0,25.0,0.0,3.5,6.0,3,1,1727.0
255,"2/1 Dods Street, 
BRUNSWICK VIC 3056",BRUNSWICK,700.0,1,0,0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"1 Dods Street, 
BRUNSWICK VIC 3056",-37.7731983,144.9627694,4.0,1.0,33.0,0.0,1.6,5.0,2,1,1727.0
256,"3/180A Melville Road, 
BRUNSWICK VIC 3056",BRUNSWICK,695.0,0,0,1,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,"180A Melville Road, 
BRUNSWICK VIC 3056",-37.7629717,144.9441079,7.0,0.0,27.0,0.0,4.2,7.0,4,1,1696.0
257,"30 Gore Street, 
FITZROY VIC 3065",FITZROY,2500.0,0,1,0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,"30 Gore Street, 
FITZROY VIC 3065",-37.8063066,144.9817738,12.0,0.0,34.0,12.0,4.8,12.0,3,2,1696.0
258,"9 Walter Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,2500.0,0,1,0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,"9 Walter Street, 
SOUTH YARRA VIC 3141",-37.841762,145.0018819,6.0,1.0,29.0,0.0,11.0,7.0,3,3,2566.0
259,"1a Myrnong Crescent, 
ASCOT VALE VIC 3032",ASCOT VALE,620.0,0,0,1,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,"1a Myrnong Crescent, 
ASCOT VALE VIC 3032",-37.7733898,144.9340239,0.0,0.0,33.0,0.0,3.9,0.0,3,2,3406.0
260,"8 Limousin Court, 
BERWICK VIC 3806",BERWICK,620.0,0,1,0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,"8 Limousin Court, 
BERWICK VIC 3806",-38.0695085,145.3425556,0.0,0.0,0.0,0.0,61.4,0.0,4,2,3406.0
