,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
128,18235.0,1921.1,40.6,12113.0,,,47.0,65.0,56.0,59.0,27.0,26.0,5.0,20.0,6252.0,181.0,10.0,431.0,814.0,17.0,184.0,1316.0,Region summary_ Croydon Hills - Warranwood SA2 211031265.csv
129,12514.0,1615.9,37.4,8402.0,,,41.0,51.0,16.0,49.0,13.0,43.0,3.0,31.0,3442.0,957.0,37.0,380.0,914.0,32.0,286.0,1074.0,Region summary_ South Morang - South SA2 209041436.csv
130,13786.0,106.4,38.6,9187.0,,,62.0,52.0,28.0,40.0,15.0,25.0,3.0,16.0,4919.0,45.0,20.0,371.0,638.0,16.0,172.0,1166.0,Region summary_ Sunbury SA2 210041240.csv
131,8596.0,490.9,45.5,5059.0,,,13.0,65.0,107.0,97.0,20.0,72.0,15.0,31.0,2953.0,457.0,,396.0,375.0,26.0,89.0,1051.0,Region summary_ Keilor SA2 210011228.csv
132,4962.0,1711.2,41.8,3592.0,,,6.0,424.0,149.0,70.0,35.0,48.0,,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,1921.0,Region summary_ East Melbourne SA2 206041119.csv
133,12901.0,3424.7,34.8,9052.0,,,63.0,44.0,20.0,109.0,17.0,38.0,4.0,15.0,3002.0,897.0,1504.0,331.0,2149.0,227.0,477.0,864.0,Region summary_ Noble Park - East SA2 212041459.csv
134,10144.0,2302.3,36.4,7139.0,,,9.0,46.0,18.0,22.0,9.0,43.0,,3.0,2602.0,235.0,173.0,400.0,420.0,58.0,216.0,1024.0,Region summary_ Cairnlea SA2 213011329.csv
135,14499.0,4560.2,34.8,10908.0,,,84.0,83.0,35.0,51.0,21.0,47.0,,27.0,2667.0,1464.0,3490.0,365.0,3061.0,63.0,733.0,1282.0,Region summary_ Brunswick West SA2 206011107.csv
136,15653.0,2785.2,37.2,11006.0,,,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,1627.0,Region summary_ Yarraville SA2 213031352.csv
137,26.0,8.5,22.9,26.0,,,0.0,,4.0,3.0,11.0,6.0,,,,,,486.0,,,,,Region summary_ Moorabbin Airport SA2 208031192.csv
138,20854.0,1997.6,47.9,11714.0,,,16.0,196.0,145.0,116.0,39.0,80.0,3.0,49.0,6615.0,493.0,837.0,481.0,963.0,35.0,276.0,1031.0,Region summary_ Wheelers Hill SA2 212051327.csv
139,4235.0,13.3,42.4,2889.0,,,7.0,4.0,10.0,20.0,3.0,7.0,3.0,12.0,1711.0,10.0,,306.0,74.0,13.0,19.0,1061.0,Region summary_ Kinglake SA2 209031211.csv
140,14332.0,67.9,40.4,8796.0,,,31.0,76.0,72.0,52.0,30.0,33.0,4.0,38.0,4677.0,462.0,34.0,430.0,664.0,8.0,97.0,1294.0,Region summary_ Gisborne SA2 210021232.csv
141,7520.0,2001.4,40.0,4794.0,,,20.0,17.0,11.0,36.0,5.0,27.0,,6.0,2561.0,25.0,283.0,351.0,686.0,39.0,115.0,840.0,Region summary_ Noble Park North SA2 212041316.csv
142,16733.0,1096.2,39.0,11020.0,,,38.0,87.0,76.0,80.0,31.0,66.0,3.0,58.0,5370.0,868.0,25.0,425.0,1336.0,32.0,244.0,1100.0,Region summary_ Knoxfield - Scoresby SA2 211011254.csv
143,25248.0,671.1,38.4,16450.0,,,64.0,83.0,48.0,96.0,26.0,32.0,5.0,47.0,8037.0,1431.0,25.0,365.0,1530.0,49.0,151.0,1138.0,Region summary_ Langwarrin SA2 214011374.csv
144,13153.0,2117.8,41.1,8729.0,,,20.0,282.0,152.0,69.0,31.0,82.0,3.0,86.0,2683.0,1076.0,1889.0,456.0,1540.0,62.0,296.0,1625.0,Region summary_ Kew - West SA2 207011522.csv
145,12061.0,2322.3,34.2,8095.0,,,62.0,20.0,11.0,76.0,11.0,27.0,3.0,42.0,3679.0,939.0,15.0,320.0,1679.0,173.0,208.0,742.0,Region summary_ Doveton SA2 212021295.csv
146,10223.0,174.1,31.3,6925.0,,,18.0,31.0,17.0,32.0,6.0,25.0,3.0,463.0,2924.0,174.0,25.0,429.0,520.0,,211.0,1203.0,Region summary_ Fraser Rise - Plumpton SA2 213041574.csv
147,14083.0,7322.3,34.3,11182.0,,,48.0,325.0,111.0,82.0,40.0,136.0,,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0,Region summary_ Richmond - North SA2 206071518.csv
148,10874.0,5064.7,35.4,8210.0,,,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,1608.0,Region summary_ Kensington (Vic.) SA2 206041121.csv
