,School_Name,Address_Postcode,X,Y
1224,Keysborough Gardens Primary School,3173,145.161324,-38.009508
1225,Docklands Primary School,3008,144.940553,-37.812714
1226,Garrang Wilam Primary School,3029,144.72505,-37.828778
1228,Gaayip-Yagila Primary School,3064,144.909089,-37.528608
1229,Riverbend Primary School,3024,144.625256,-37.876676
1236,Collingwood College,3066,144.990497,-37.802985
1249,Macleod College,3085,145.072218,-37.724746
1259,Virtual School Victoria,3071,145.025701,-37.76204
1261,Victorian School Of Languages,3071,145.0258329,-37.7619483
1262,Avenues Education,3189,145.036279,-37.934579
1263,Monash Children's Hospital School,3168,145.124252,-37.91938
1264,Mount Erin Secondary College,3199,145.14663,-38.174118
1265,Box Hill Senior Secondary College,3129,145.111907,-37.809243
1267,Elevation Secondary College,3064,144.890252,-37.598288
1275,Peter Lalor Secondary College,3075,145.0131559,-37.66690584
1276,Lilydale Heights College,3140,145.3414068,-37.7458221
1279,Bentleigh Secondary College,3165,145.059798,-37.927357
1281,Rosehill Secondary College,3042,144.886183,-37.746679
1282,Northern College of the Arts and Technology,3072,145.025372,-37.740069
1283,Swinburne Senior Secondary College,3122,145.040821,-37.823135
1284,Victorian College Of The Arts Secondary School,3006,144.964767,-37.828229
1286,Wyndham Central Secondary College,3030,144.65385,-37.888932
1290,Auburn High School,3123,145.045067,-37.83988
1292,Balwyn High School,3104,145.0767724,-37.79785922
1293,Bayswater Secondary College,3153,145.261998,-37.83903
1295,Beaumaris Secondary College,3193,145.034078,-37.978396
1300,Blackburn High School,3130,145.149893,-37.81037
1302,Box Hill High School,3128,145.137208,-37.820003
1303,Braybrook College,3019,144.847537,-37.778257
1304,Brentwood Secondary College,3150,145.1663432,-37.89950842
1305,Brighton Secondary College,3187,145.019119,-37.920156
1307,Buckley Park College,3040,144.897755,-37.747117
1308,Camberwell High School,3126,145.072821,-37.830151
1309,Canterbury Girls Secondary College,3126,145.069102,-37.820289
1311,Cheltenham Secondary College,3192,145.068676,-37.953762
1316,Croydon Community School,3136,145.278928,-37.798422
1317,Mount Alexander 7-12 College,3031,144.933235,-37.782154
1319,East Doncaster Secondary College,3109,145.158557,-37.782127
1321,Doncaster Secondary College,3108,145.138053,-37.784581
1324,Eltham High School,3095,145.141725,-37.724436
1325,Elwood College,3184,144.985203,-37.88232
1326,Epping Secondary College,3076,145.033426,-37.644001
1328,Fairhills High School,3180,145.259037,-37.87321
1330,Footscray High School,3011,144.8937633,-37.79104291
1332,Frankston High School,3199,145.129706,-38.162156
1336,Gladstone Park Secondary College,3043,144.890003,-37.689766
1337,Bundoora Secondary College,3083,145.061977,-37.707501
1342,Highvale Secondary College,3150,145.17682,-37.865409
1344,Kensington Community High School,3031,144.925577,-37.787909
1345,Kew High School,3102,145.063358,-37.795546
1346,Koonung Secondary College,3129,145.117561,-37.80219
1351,Lalor Secondary College,3075,145.0306228,-37.67265939
1352,Lalor North Secondary College,3076,145.034124,-37.660767
1353,Lilydale High School,3140,145.343917,-37.760697
1355,Lyndale Secondary College,3175,145.206712,-37.958765
1356,Lynall Hall Community School,3121,145.002257,-37.816477
1359,Maribyrnong Secondary College,3032,144.888238,-37.779521
1361,Melbourne High School,3141,144.995314,-37.836829
1363,Mentone Girls Secondary College,3194,145.053504,-37.980182
1367,Montmorency Secondary College,3094,145.113611,-37.714075
1368,Mooroolbark College,3138,145.3142304,-37.77508326
1369,Mordialloc College,3195,145.092675,-38.012243
1372,Mount Waverley Secondary College,3149,145.132311,-37.869086
1374,MacRobertson Girls High School,3004,144.971862,-37.835886
1378,Northcote High School,3070,144.989706,-37.774156
1379,Norwood Secondary College,3134,145.237605,-37.799752
1386,Parkdale Secondary College,3195,145.093501,-37.990301
1387,Pascoe Vale Girls Secondary College,3044,144.935499,-37.717564
1388,Prahran High School,3181,144.9911611,-37.85174882
1389,Preston High School,3072,145.006401,-37.741692
1390,Princes Hill Secondary College,3054,144.96503,-37.783481
1391,Homestead Senior Secondary College,3030,144.766892,-37.91615
1395,Ringwood Secondary College,3134,145.239147,-37.816606
1396,Richmond High School,3121,145.002804,-37.817408
1402,Saltwater P-9 College,3030,144.770284,-37.91133
1403,Scoresby Secondary College,3179,145.2362,-37.888642
1404,St Albans Secondary College,3021,144.808411,-37.745532
1406,Oakwood School,3161,145.034173,-37.87398
1407,Strathmore Secondary College,3041,144.926643,-37.73695
1409,Sydney Road Community School,3056,144.961878,-37.769691
1411,Thomastown Secondary College,3074,145.0019385,-37.67871605
1413,Dohertys Creek P-9 College,3029,144.733911,-37.842976
1414,University High School,3052,144.95538,-37.796982
1415,Roxburgh College,3064,144.930331,-37.63041
1417,Upwey High School,3158,145.335475,-37.904357
1418,Vermont Secondary College,3133,145.199701,-37.844117
1422,Wantirna College,3152,145.229974,-37.857598
1424,Warrandyte High School,3113,145.184222,-37.748269
1425,Wellington Secondary College,3170,145.169378,-37.934467
1426,Werribee Secondary College,3030,144.668744,-37.905536
1428,Westall Secondary College,3169,145.136577,-37.940312
1429,Wheelers Hill Secondary College,3150,145.181743,-37.910126
1430,Williamstown High School,3016,144.895024,-37.862855
1435,Glen Eira College,3145,145.038006,-37.8857
1436,Craigieburn Secondary College,3064,144.9359541,-37.60875112
1438,Reservoir High School,3073,145.029772,-37.722259
1440,Hoppers Crossing Secondary College,3029,144.695358,-37.871223
1441,Keilor Downs Secondary College,3038,144.811186,-37.715515
1447,Forest Hill College,3151,145.163728,-37.848519
1448,Patterson River Secondary College,3198,145.134741,-38.083504
1449,St Helena Secondary College,3095,145.1399078,-37.68686717
1451,Rowville Secondary College,3178,145.2370885,-37.92388682
1453,Sandringham College,3191,145.023034,-37.956709
1454,Fitzroy High School,3068,144.987476,-37.784911
1455,Ashwood High School,3147,145.103328,-37.864527
1456,Mullauna Secondary College,3132,145.190155,-37.807109
1458,Diamond Valley College,3089,145.167403,-37.672828
1459,Blackburn English Language School,3151,145.148292,-37.847889
1460,Collingwood English Language School,3066,144.9847995,-37.80784119
1461,Noble Park English Language School,3174,145.178166,-37.971168
1462,Greensborough Secondary College,3088,145.091251,-37.708486
1464,Mill Park Secondary College,3082,145.063414,-37.664155
1466,The Grange P-12 College,3029,144.6749381,-37.8581346
1468,Taylors Lakes Secondary College,3038,144.794402,-37.70741
1469,Sunshine College,3020,144.81382,-37.793158
1471,Thornbury High School,3071,145.0252135,-37.75649469
